"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 19 15:26:38 CST 2021","Tue Jan 19 15:26:38 CST 2021","0","testcase.case","test_ZcZcrk","Test_ZcZcrk","","","test_AQuery[data2]","资产入库--查询"
"broken","Tue Jan 19 15:26:37 CST 2021","Tue Jan 19 15:26:37 CST 2021","0","testcase.case","test_ZcZcrk","Test_ZcZcrk","","","test_AQuery[data1]","资产入库--查询"
"broken","Tue Jan 19 15:26:35 CST 2021","Tue Jan 19 15:26:35 CST 2021","0","testcase.case","test_ZcZcrk","Test_ZcZcrk","","","test_AQuery[data0]","资产入库--查询"
